Gene	D1_Control.	D2_Control.	D3_Control.	D4_Control.	D5.ntr	D6_Control.	D1_Treated.	D2_Treated.	D3_Treated.	D4_Treated.	D5_Treated.	D6_Treated.
Gstm6	1.2183	1.7146	2.6564	3.3948	6.9786999999999999	10.5626	1.8559	1.2383	1.9419	1.7885	5.8049	6.229
Gstm7	320.1471	317.1149	205.196	119.9594	89.604649999999992	59.2499	280.9264	248.6039	199.2252	120.844	83.3411	58.6436
Gsto1	583.0539	610.5854	460.3861	546.7124	1232.16725	1917.6221	539.9474	556.3319	452.1258	528.5021	1360.979	1438.5683
Gsto2	10.3038	18.7148	13.4242	14.4825	14.23165	13.9808	4.6445	5.3816	8.7714	20.2306	23.4715	19.764
Gstp1	359.0624	419.9124	355.6976	319.3944	311.83350000000002	304.2726	326.0671	368.9882	356.4527	365.538	315.7528	176.8697
Gstp2	1.1308	1.819	0.0	0.8417	0.95765000000000011	1.0736	0.9407	0.6759	0.9762	0.0	0.0294	1.5593
Gstt1	37.6296	73.7355	68.1235	78.484	62.379999999999995	46.276	40.4744	60.6475	64.4573	88.9712	62.8911	29.6066
Gstt2	41.9668	26.5652	39.4606	33.2064	31.6661	30.1258	38.6572	29.8752	36.1362	27.4409	35.5912	27.417
Gstt3	70.58	86.9212	134.4583	154.3548	121.27595000000001	88.1971	66.853	107.7355	114.2619	176.9627	98.5645	73.3704
Gstt4	0.0027	0.0	0.0	0.0	0.52249999999999996	1.045	0.0	0.0	0.0	0.0	0.0036	0.0102
Gstz1	394.3659	457.9989	495.4732	448.8831	463.10660000000001	477.3301	405.2173	485.2775	433.595	513.0395	455.7714	397.9758
Gsx1	0	0	0	0	0	0	0	0	0	0	0	0
Gsx2	0.0054	0.0	0.0	0.0	0.0015499999999999999	0.0031	0.96	0.0	0.0	0.0	0.0072	1.379
Gt(ROSA)26Sor	264.8316	327.5336	277.701	322.8355	309.78685000000002	296.7382	382.6545	257.4475	296.8741	326.1347	335.859	329.9369
Gtdc1	296.6944	396.7391	460.5392	438.6931	445.64319999999998	452.5933	315.6684	371.6805	430.6712	488.3183	436.7521	424.7576
Gtf2a1	1240.8177	1042.0318	1157.5681	780.9812	842.58085000000005	904.1805	1304.3365	1148.2068	1281.2795	869.3257	769.2503	1182.75
Gtf2a1l	0.0283	1.8016	1.817	0.0	2.0967500000000001	4.1935	0.9347	0.6455	0.0	1.8537	0.0377	0.1096
